Movie_ID,averageRating,numVotes
1016,4.6,140
1017,8.5,27
1018,4.5,14
1019,4.5,48
1020,5,16
1021,6.3,1252
1022,5.8,33
1023,5.6,10
1024,6.2,14
1025,4.6,15
1026,5,34
1027,6.4,39
1028,5.1,35
1029,4.9,45
1030,6.1,313
1031,5.8,49
1032,4.4,15
1033,5.2,65
1034,4.2,17
1035,7.4,13
1036,6,19
1037,5.8,58
1038,5.6,199
1039,7.6,28
1040,8.8,22
1041,5.7,41
1042,3.6,17
1043,5.1,33
1044,5.3,15
1045,5.1,35
1046,5.8,57
1047,5.7,94
1048,5.6,18
1049,6.5,328
1050,6.3,162
1051,5.9,68
1052,6.1,229
1053,6,61
1054,5.9,15
1055,6.1,21
1056,7,18
1057,5.7,12
1058,5.5,26
1059,6.6,2345
1060,6.1,50
1061,6.2,11
1062,5.9,152
1063,4.4,48
1064,6.3,889
1065,6,14
1066,5,10
1067,5.2,49
1068,4.2,24
1069,5.7,250
1070,7.7,8
1071,5,39
1072,4.8,24
1073,6.2,320
1074,6.1,20
1075,5.9,613
1076,6.1,116
1077,6.6,928
1078,6.2,173
1079,5.5,11
1080,9,13
1081,9,12
1082,4,29
1083,5.4,34
1084,4.2,18
1085,6.2,396
1086,6.4,63
1087,8.5,22
1088,6.4,251
1089,5.7,293
1090,5.2,61
1091,6.5,84
1092,6.4,11
1093,7,108
1094,6.5,13
1095,5.6,64
1096,5.7,56
1097,6.3,113
1098,6.1,19
1099,4.2,41
1100,5.1,60
1101,5.1,20
1102,5.4,36
1103,6.2,401
1104,5.1,19
1105,5.2,18
1106,5.2,37
1107,5.6,100
1108,5,60
1109,4.6,16
1110,6.2,16
1111,5.9,88
1112,5,75
1113,4.6,47
1114,5.4,51
1115,6.2,16
1116,5.7,25
1117,5.8,223
1118,7.4,15
1119,7,26
1120,5.8,15
1121,5.3,47
1122,6.5,910
1123,4.6,44
1124,5.8,23
1125,4.8,24
1126,5.3,239
1127,6.2,29
1128,4.7,52
1129,9.1,18
1130,5.3,26
1131,5.9,44
1132,6.2,10
1133,6.7,27
1134,6,14
1135,4.7,85
1136,4.9,60
1137,5.5,45
1138,4.9,141
1139,5.1,86
1140,5.5,101
1141,7.2,18
1142,6.1,184
1143,5.6,9
1144,6.6,439
1145,5.8,10
1146,5.5,46
1147,4.1,59
1148,5.3,804
1149,6,386
1150,6.7,39
1151,5.9,20
1152,7.8,11
1153,4.8,57
1154,3.4,47
1155,5.4,123
1156,4.8,10
1157,6.1,24
1158,3,11
1159,3.8,38
1160,5.5,20
1161,4.6,39
1162,5.8,40
1163,4.2,40
1164,5.6,66
1165,5,49
1166,6,8
1167,6.1,582
1168,5.1,17
1169,5,19
1170,5.6,25
1171,5.2,348
1172,3.8,32
1173,5.9,117
1174,4,47
1175,6.6,12
1176,4.6,31
1177,6.8,23
1178,6.9,2356
1179,5.4,33
1180,4.4,41
1181,5.8,35
1182,5.3,420
1183,4.5,42
1184,6.5,56
1185,5.5,116
1186,6,110
1187,6,16
1188,6.8,16
1189,5.8,54
1190,6.8,150
1191,4.5,39
1192,6,87
1193,5.6,44
1194,4.8,85
1195,4.1,23
1196,5,72
1197,6,14
1198,4.8,66
1199,4.6,11
1200,5.9,20
1201,6,523
1202,6.1,351
1203,5.6,166
1204,3.7,30
